Image ID,LST_Day_1km
2_2008_01_01,25.45
2_2008_01_09,25.61
2_2008_01_17,25.47
2_2008_01_25,19.33
2_2008_02_02,20.43
2_2008_02_10,23.37
2_2008_02_18,29.75
2_2008_02_26,31.05
2_2008_03_05,32.81
2_2008_03_13,37.31
2_2008_03_21,38.71
2_2008_03_29,36.25
2_2008_04_06,37.99
2_2008_04_14,42.29
2_2008_04_22,44.49
2_2008_04_30,40.85
2_2008_05_08,39.73
2_2008_05_16,37.21
2_2008_05_24,40.91
2_2008_06_01,41.17
2_2008_06_09,
2_2008_06_17,
2_2008_06_25,
2_2008_07_03,
2_2008_07_11,
2_2008_07_19,
2_2008_07_27,
2_2008_08_04,
2_2008_08_12,
2_2008_08_20,29.17
2_2008_08_28,29.57
2_2008_09_05,
2_2008_09_13,
2_2008_09_21,
2_2008_09_29,29.13
2_2008_10_07,30.43
2_2008_10_15,31.69
2_2008_10_23,30.61
2_2008_10_31,31.09
2_2008_11_08,31.17
2_2008_11_16,29.97
2_2008_11_24,28.93
2_2008_12_02,28.81
2_2008_12_10,27.83
2_2008_12_18,24.83
2_2008_12_26,27.09
2_2009_01_01,25.71
2_2009_01_09,26.35
2_2009_01_17,27.21
2_2009_01_25,28.87
2_2009_02_02,31.07
2_2009_02_10,29.39
2_2009_02_18,33.01
2_2009_02_26,32.99
2_2009_03_06,35.31
2_2009_03_14,38.73
2_2009_03_22,37.33
2_2009_03_30,43.03
2_2009_04_07,44.93
2_2009_04_15,44.53
2_2009_04_23,43.89
2_2009_05_01,43.31
2_2009_05_09,42.07
2_2009_05_17,35.79
2_2009_05_25,32.41
2_2009_06_02,31.67
2_2009_06_10,35.09
2_2009_06_18,37.95
2_2009_06_26,43.35
2_2009_07_04,
2_2009_07_12,32.01
2_2009_07_20,
2_2009_07_28,
2_2009_08_05,
2_2009_08_13,
2_2009_08_21,
2_2009_08_29,32.65
2_2009_09_06,32.15
2_2009_09_14,31.01
2_2009_09_22,27.99
2_2009_09_30,32.33
2_2009_10_08,30.25
2_2009_10_16,30.27
2_2009_10_24,30.15
2_2009_11_01,30.81
2_2009_11_09,31.15
2_2009_11_17,24.89
2_2009_11_25,26.91
2_2009_12_03,26.53
2_2009_12_11,26.29
2_2009_12_19,23.39
2_2009_12_27,23.65
2_2010_01_01,23.63
2_2010_01_09,22.85
2_2010_01_17,23.87
2_2010_01_25,28.29
2_2010_02_02,28.15
2_2010_02_10,29.49
2_2010_02_18,32.33
2_2010_02_26,35.91
2_2010_03_06,36.77
2_2010_03_14,38.49
2_2010_03_22,41.91
2_2010_03_30,41.87
2_2010_04_07,42.21
2_2010_04_15,41.55
2_2010_04_23,40.83
2_2010_05_01,37.65
2_2010_05_09,39.91
2_2010_05_17,36.99
2_2010_05_25,29.75
