Image ID,LST_Day_1km
2_2008_01_01,29.57
2_2008_01_02,27.87
2_2008_01_03,29.95
2_2008_01_04,
2_2008_01_05,30.47
2_2008_01_06,30.19
2_2008_01_07,30.83
2_2008_01_08,32.21
2_2008_01_09,31.43
2_2008_01_10,32.59
2_2008_01_11,
2_2008_01_12,31.35
2_2008_01_13,30.49
2_2008_01_14,32.75
2_2008_01_15,32.07
2_2008_01_16,31.59
2_2008_01_17,33.81
2_2008_01_18,30.19
2_2008_01_19,35.97
2_2008_01_20,
2_2008_01_21,
2_2008_01_22,
2_2008_01_23,
2_2008_01_24,
2_2008_01_25,
2_2008_01_26,
2_2008_01_27,
2_2008_01_28,27.55
2_2008_01_29,
2_2008_01_30,
2_2008_01_31,
2_2008_02_01,
2_2008_02_02,30.01
2_2008_02_03,
2_2008_02_04,
2_2008_02_05,
2_2008_02_06,
2_2008_02_07,
2_2008_02_08,
2_2008_02_09,
2_2008_02_10,29.09
2_2008_02_11,33.11
2_2008_02_12,
2_2008_02_13,34.51
2_2008_02_14,32.75
2_2008_02_15,35.13
2_2008_02_16,34.85
2_2008_02_17,34.21
2_2008_02_18,37.71
2_2008_02_19,32.67
2_2008_02_20,30.51
2_2008_02_21,
2_2008_02_22,36.27
2_2008_02_23,37.41
2_2008_02_24,37.93
2_2008_02_25,38.13
2_2008_02_26,34.11
2_2008_02_27,38.99
2_2008_02_28,
2_2008_02_29,39.37
2_2008_03_01,35.63
2_2008_03_02,40.51
2_2008_03_03,39.15
2_2008_03_04,37.13
2_2008_03_05,42.35
2_2008_03_06,36.79
2_2008_03_07,42.21
2_2008_03_08,37.17
2_2008_03_09,45.07
2_2008_03_10,
2_2008_03_11,39.17
2_2008_03_12,46.41
2_2008_03_13,
2_2008_03_14,
2_2008_03_15,
2_2008_03_16,33.23
2_2008_03_17,38.31
2_2008_03_18,42.03
2_2008_03_19,39.11
2_2008_03_20,
2_2008_03_21,39.75
2_2008_03_22,38.23
2_2008_03_23,
2_2008_03_24,
2_2008_03_25,44.23
2_2008_03_26,37.57
2_2008_03_27,43.73
2_2008_03_28,43.75
2_2008_03_29,40.13
2_2008_03_30,45.73
2_2008_03_31,
2_2008_04_01,37.61
2_2008_04_02,
2_2008_04_03,43.61
2_2008_04_04,39.85
2_2008_04_05,
2_2008_04_06,45.47
2_2008_04_07,40.61
2_2008_04_08,39.17
2_2008_04_09,
2_2008_04_10,48.89
2_2008_04_11,43.93
2_2008_04_12,40.11
2_2008_04_13,48.89
2_2008_04_14,
2_2008_04_15,
2_2008_04_16,
2_2008_04_17,43.73
2_2008_04_18,38.63
2_2008_04_19,50.61
2_2008_04_20,49.33
2_2008_04_21,48.15
2_2008_04_22,50.41
2_2008_04_23,44.77
2_2008_04_24,50.19
2_2008_04_25,41.25
2_2008_04_26,48.09
2_2008_04_27,47.29
2_2008_04_28,39.19
2_2008_04_29,51.25
2_2008_04_30,46.71
2_2008_05_01,52.19
2_2008_05_02,
2_2008_05_03,
2_2008_05_04,
2_2008_05_05,42.49
2_2008_05_06,38.25
2_2008_05_07,40.39
2_2008_05_08,43.73
2_2008_05_09,36.31
2_2008_05_10,45.39
2_2008_05_11,
2_2008_05_12,46.35
2_2008_05_13,45.19
2_2008_05_14,45.65
2_2008_05_15,
2_2008_05_16,
2_2008_05_17,47.09
2_2008_05_18,
2_2008_05_19,
2_2008_05_20,
2_2008_05_21,38.23
2_2008_05_22,37.29
2_2008_05_23,
2_2008_05_24,40.55
2_2008_05_25,
2_2008_05_26,39.53
2_2008_05_27,
2_2008_05_28,45.87
2_2008_05_29,
2_2008_05_30,41.93
2_2008_05_31,45.19
2_2008_06_01,41.91
2_2008_06_02,44.57
2_2008_06_03,
2_2008_06_04,39.13
2_2008_06_05,
2_2008_06_06,
2_2008_06_07,
2_2008_06_08,
2_2008_06_09,
2_2008_06_10,
2_2008_06_11,
2_2008_06_12,
2_2008_06_13,
2_2008_06_14,
2_2008_06_15,
2_2008_06_16,
2_2008_06_17,
2_2008_06_18,
2_2008_06_19,
2_2008_06_20,
2_2008_06_21,
2_2008_06_22,
2_2008_06_23,
2_2008_06_24,
2_2008_06_25,
2_2008_06_26,
2_2008_06_27,
2_2008_06_28,
2_2008_06_29,
2_2008_06_30,
2_2008_07_01,
2_2008_07_02,
2_2008_07_03,
2_2008_07_04,
2_2008_07_05,
2_2008_07_06,
2_2008_07_07,
2_2008_07_08,
2_2008_07_09,
2_2008_07_10,
2_2008_07_11,
2_2008_07_12,
2_2008_07_13,
2_2008_07_14,
2_2008_07_15,
2_2008_07_16,
2_2008_07_17,
2_2008_07_18,
2_2008_07_19,
2_2008_07_20,
2_2008_07_21,
2_2008_07_22,
2_2008_07_23,
2_2008_07_24,
2_2008_07_25,
2_2008_07_26,
2_2008_07_27,
2_2008_07_28,
2_2008_07_29,
2_2008_07_30,
2_2008_07_31,
2_2008_08_01,
2_2008_08_02,
2_2008_08_03,
2_2008_08_04,
