lon,lat,1999_0,2000_0,2001_0,2002_0,2003_0,2004_0,2005_0,2006_0,2007_0,2008_0,2009_0,2010_0,2011_0,2012_0,2013_0,2014_0,2015_0,2016_0,2017_0
83.341,24.106,0.411430568,0.312763542,0.48342663,0.386611909,0.426822066,0.302424371,0.313559324,0.376042038,0.344155997,0.388521522,0.326098233,0.29274413,0.299086452,0.145490095,0.38614428,0.141405374,0.296799928,0.26056993,0.305755854
83.35,24.097,0.267360389,0.316477329,0.498220563,0.376680076,0.418687731,0.302843422,0.331873327,0.380782872,0.377979696,0.390953183,0.375506967,0.28991434,0.281197727,0.156861782,0.385029674,0.153617218,0.320191145,0.251218557,0.31681174
83.35,24.106,0.459069222,0.358920246,0.531264126,0.41787672,0.438457102,0.325302035,0.338374257,0.403968036,0.431535155,0.3880229,0.370597154,0.307131976,0.314137787,0.149211496,0.403979778,0.13580212,0.339380711,0.287279934,0.320556998
83.359,24.106,0.228759736,0.337241799,0.592308223,0.450385809,0.441913366,0.339112431,0.406719834,0.417593241,0.420472234,0.470410019,0.39935115,0.402551115,0.331653923,0.161837682,0.45157221,0.135707602,0.382440537,0.299980432,0.371272683
83.359,24.115,0.419618934,0.382024527,0.596514761,0.442490458,0.483281046,0.312823296,0.395074219,0.447345376,0.420303702,0.448462725,0.397786647,0.320129722,0.354218394,0.157691523,0.407862544,0.142310396,0.376880556,0.282027066,0.332737744
83.359,24.124,0.596299887,0.382024527,0.543076396,0.442490458,0.458411664,0.31150806,0.352589667,0.404319346,0.449861526,0.432516634,0.38308838,0.298109144,0.312584609,0.152607948,0.358163238,0.138988018,0.332065523,0.270052612,0.305413634
83.359,24.133,0.589547157,0.358920246,0.554969907,0.450385809,0.441753864,0.319590181,0.387194097,0.4143731,0.455509692,0.460655421,0.394311756,0.299612522,0.30484432,0.156823054,0.384414792,0.149125516,0.332959145,0.27082485,0.290366203
83.368,24.106,0.273675829,0.378578633,0.616302788,0.448669165,0.413997799,0.395066828,0.464361608,0.468206853,0.425108492,0.485200852,0.461569726,0.406506151,0.334880143,0.181083143,0.464235365,0.150484592,0.427975357,0.2864151,0.389385074
83.368,24.115,0.53746587,0.436503321,0.539954901,0.504791141,0.525336623,0.330687135,0.395590544,0.48864308,0.502045631,0.469539404,0.393420398,0.34890455,0.368496001,0.148724705,0.421269655,0.158348039,0.394351244,0.319806814,0.343177706
83.368,24.124,0.556268811,0.343885779,0.470494449,0.386792958,0.433258295,0.275853068,0.307290405,0.386752188,0.416555971,0.379931957,0.325564027,0.271057934,0.304679543,0.13957794,0.35475716,0.131501541,0.300064057,0.252623141,0.299221665
83.368,24.133,0.522607923,0.308092862,0.467285067,0.367091,0.38578108,0.265917808,0.275683075,0.394770026,0.369418114,0.370628595,0.336735487,0.289087236,0.302847207,0.146944478,0.370034754,0.149788171,0.275781006,0.235347375,0.263663292
83.368,24.142,0.596007586,0.323506415,0.573499739,0.437943399,0.396662056,0.297316194,0.32686612,0.444769144,0.407426327,0.418080837,0.31496641,0.275008678,0.302143186,0.17101559,0.348365158,0.150530741,0.303274363,0.238405272,0.241456687
83.368,24.151,0.55018574,0.334755152,0.503816724,0.3668167,0.39492783,0.25853008,0.27666384,0.379685611,0.395836204,0.372400254,0.277729392,0.231994689,0.239158586,0.152602226,0.297924757,0.160081059,0.2611866,0.20751974,0.223982215
83.368,24.16,0.560305774,0.289274096,0.520230174,0.376829952,0.408658385,0.274866372,0.280657619,0.327494085,0.352023274,0.375335395,0.317518026,0.264581323,0.269024819,0.124755166,0.337444037,0.166107967,0.238378003,0.24932225,0.23267974
83.377,24.106,0.397024006,0.368678838,0.601924598,0.496123374,0.415743262,0.355520636,0.430515647,0.467814952,0.445008904,0.477316469,0.440349549,0.375345677,0.333735526,0.177870601,0.422137946,0.133137941,0.403342098,0.279000759,0.366892874
